id,day,size.cat,Table,Tank,DOFSample,time.in.oven,time.out.oven,dat.filter,dat.count,observer,red.fib,yell.fib,green.fib,turq.fib,blu.fib,purp.fib,gray.fib,clear.fib,pink.fib,brown.fib,orang.fib,black.fib,tot.fib,red.frag,yell.frag,green.frag,turq.frag,blu.frag,purp.frag,gray.frag,clear.frag,pink.frag,brown.frag,orang.frag,black.frag,whit.spher,clear.spher,tot.frag.spher,tot.part
Water Day 0 A,0,twentyto50,A,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 0 A,0,fiftyto100,A,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 0 A,0,onehundredto500,A,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 0 A,0,fivehundredto1000,A,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 0 A,0,onethousandto5000,A,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 0 B,0,twentyto50,B,3,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 0 B,0,fiftyto100,B,3,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 0 B,0,onehundredto500,B,3,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 0 B,0,fivehundredto1000,B,3,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 0 B,0,onethousandto5000,B,3,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-21-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Day 0 C,0,twentyto50,C,4,12-13-2017,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
