id,size.cat,time.in.oven,time.out.oven,dat.filter,dat.count,observer,red.fib,yell.fib,green.fib,turq.fib,blu.fib,purp.fib,gray.fib,clear.fib,pink.fib,brown.fib,orang.fib,black.fib,tot.fib,red.frag,yell.frag,green.frag,turq.frag,blu.frag,purp.frag,gray.frag,clear.frag,pink.frag,brown.frag,orang.frag,black.frag,whit.spher,clear.spher
Water Control Control 1,twentyto50,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Control Control 1,fiftyto100,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Control Control 1,onehundredto500,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Control Control 1,fivehundredto1000,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Control Control 1,onethousandto5000,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Control Control 2,twentyto50,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Control Control 2,fiftyto100,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Control Control 2,onehundredto500,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Control Control 2,fivehundredto1000,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Control Control 2,onethousandto5000,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Control Control 3,twentyto50,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Control Control 3,fiftyto100,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Control Control 3,onehundredto500,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Control Control 3,fivehundredto1000,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Control Control 3,onethousandto5000,2017-01-09/17:00,2017-01-17/09:30,12-13-2017,12-20-2017,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
